Class 1,Term 1,Similarity,Class 2,Term 2,Comment,Reasoning,Factors
16,Photocopy paper,3,16,Offset paper,,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 5, 6, 7, 8]"
16,Photocopy paper,3,16,Fine paper,,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 5, 6, 7, 8]"
16,Adhesives for stationery,3,16,Bookbinding material,Bookbinding material includes adhesives and glues for bookbinding.,"['1. Nature', '2. Purpose', '6. Distribution channels', '8. Producer / Provider']","[1, 2, 6, 8]"
42,Database design and development,3,42,Computer software design and updating,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
9,Sound reproduction apparatus,3,9,Sound recording apparatus,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
9,Sound reproduction apparatus,3,9,Pre-recorded compact discs,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
9,Sound reproduction apparatus,3,9,Apparatus for the transmission of images,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
29,"Peanuts, prepared",3,30,"Snack bars containing a mixture of grains, nuts and dried fruit [confectionery]","These goods are in competition when consumed as a ""healthy snack"".","['5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[5, 6, 7, 8]"
41,Rental of audio equipment,3,41,Rental of video screens,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
7,Steam engines,3,7,Carburetters,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
30,Pizzas,3,30,Pasta,,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
22,String,3,22,Ropes,,"['1. Nature', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 3, 6, 7, 8]"
7,Heat exchangers [parts of machines],3,12,"Powertrains, including engines and motors, for land vehicles",,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
25,Ready-made clothing,3,24,"Textile goods, and substitutes for textile goods","In view of the fact that bathrobes are included in the broad category of clothing (09/09/2020, T 50/19, Dayaday (fig.) / DAYADAY (fig.) et al, ECLI:EU:T:2020:407, § 128).) and bath towels are included in the broad category of textile goods, similarity must also be found between the broad categories of textile goods in Class 24 and clothing in Class 25.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
32,Non-alcoholic beer,3,32,Beer,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
32,Non-alcoholic beverages,3,32,Beer-based cocktails,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
32,Non-alcoholic beverages,3,32,Beer,"Non-alcoholic beverages cover 'non-alcoholic beer' and they coincide in producer/provider, unlike 'soft drinks'.
‘Beer’ is a term that refers to an alcoholic drink and, as such, does not cover ‘non-alcoholic beer’. In the Beer directive Council Directive 92/83/EEC, beer is defined as having an actual alcoholic strength by volume exceeding 0,5 % vol. The fact that there is no alcohol is fundamental (e.g. in tax treatment special excise is applied to beer but not to non-alcoholic beer).","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
32,Non-alcoholic beverages,3,32,Malt beer,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
41,Production of musical videos,3,41,Film production services,,"['1. Nature', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 3, 6, 7, 8]"
41,Arranging of musical events,3,41,Dance hall services,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
9,Apparatus for the transmission of data,3,9,Recorded content,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
30,Sandwiches,3,30,Hot dogs,,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
29,Jellies for food,3,29,Cooked fruits,,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 5, 6, 7, 8]"
16,Paper,3,16,Cardboard,"Paper in this class refers to material made from cellulose fibres which have been formed into flat thin sheets, or rolls thereof, suitable for writing on or for wrapping.","['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
3,False nails,3,3,Cosmetics,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
30,Baking powder,3,30,Yeast,,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels']","[1, 5, 6]"
41,Providing recreation facilities,3,41,Organising of recreational events,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
41,Providing recreation facilities,3,41,Provision of recreational events,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
28,Dolls,3,28,Childrens punch balls,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Dolls,3,28,Childrens fourwheeled vehicles playthings,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Dolls,3,28,Childrens multiple activity tables playthings,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Dolls,3,28,Childrens multiple activity toy,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Dolls,3,28,Childrens playhouses,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Dolls,3,28,Doll accessories,,"['1. Nature', '2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 4, 6, 7, 8]"
28,Dolls,3,28,Play mats incorporating infant toys [playthings],,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Dolls,3,28,Play mats for use with toy vehicles [playthings],,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Dolls,3,28,Dolls' clothing accessories,,"['1. Nature', '2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 4, 6, 7, 8]"
28,Dolls,3,28,Electronic board games,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Dolls,3,28,Games,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Dolls,3,28,Electronic activity toys,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Dolls,3,28,Clothing for toy figures,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Dolls,3,28,Doll costumes,,"['1. Nature', '2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 4, 6, 7, 8]"
28,Dolls,3,28,Play mats for use with toy vehicles,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Dolls,3,28,Electric action toys,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Dolls,3,28,Clothes for European dolls,,"['1. Nature', '2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 4, 6, 7, 8]"
28,Dolls,3,28,Dolls' feeding bottles,,"['1. Nature', '2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 4, 6, 7, 8]"
28,Dolls,3,28,Play mats containing infant toys,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Dolls,3,28,Dolls' clothes,,"['1. Nature', '2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 4, 6, 7, 8]"
3,Laundry soaking preparations,3,3,Bleaching preparations,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
42,Computer programming,3,42,Installation of computer software,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
9,Apparatus for the reproduction of images,3,9,Apparatus for recording images,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
9,Apparatus for the reproduction of images,3,9,Sound reproduction apparatus,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
9,Apparatus for the reproduction of images,3,9,Apparatus for the transmission of images,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
9,Apparatus for the reproduction of images,3,9,Sound transmitting apparatus,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
42,Conversion of data or documents from physical to electronic media,3,42,Electronic storage of documents,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
42,Conversion of data or documents from physical to electronic media,3,42,Electronic data storage,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
31,Unprocessed mushrooms,3,31,"Vegetables, fresh",,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
10,Veterinary apparatus and instruments,3,5,Dental impression materials,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
10,Veterinary apparatus and instruments,3,5,Dental materials for stopping the teeth,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
10,Veterinary apparatus and instruments,3,5,Teeth filling material,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
